Words;Status
Bitlayer;Term
BitVM;Term
BitVM парадигмасына;Term
BitVM қауымдастығы;Term
borsh;Term
BTC;Term
byte array;Term
defi әмиян;Term
Discord қауымдастықтарында;Term
DLC;Term
EOS Nation;Term
EOS Network;Term
EOS Network Foundation;Term
EOSIO;Term
ethereum блокчейн;Term
Ethereum жаңартулары;Term
Ethereum желісі;Term
Ethereum экожүйесінде;Term
Ethereum үлесі;Term
Ethereum-ның Solidity;Term
Explorer сайты;Term
Food Trust блокчейнін;Term
HTTP сұрауының;Term
JS кітапханасын;Term
Magic Eden;Term
NFT жинақтарыңызды;Term
NFT негізіндегі ойындар;Term
Nxt қауымдастығы;Term
OKX Ventures;Term
On-chain деректеріне;Term
Play-to-earn;Term
PricewaterhouseCoopers;Term
proof-of-stake;Term
proof-of-work;Term
QR кодтарымен;Term
RSA;Term
sol;Term
solana;Term
Solana Labs;Term
Solana желісі;Term
Solana экожүйесінде;Term
Solana әмиян;Term
Web3 жобалары;Term
Web3 ойын;Term
Web3 технологиялық;Term
Web3 экожүйесіне;Term
Web3 қауіпсіздік кеңейтімдері;Term
Web3 қызметтері;Term
актив;Term
активтер;Term
алаяқтық;Term
алаяқтықтар;Term
алгоритм;Term
алгоритмдер;Term
алдамшы дауыс;Term
алдыңғы блок;Term
алдыңғы блоктар;Term
Аппараттық әмияндар;Term
асимметриялық криптография;Term
асимметриялық криптографиялық алгоритмдер;Term
Асимметриялық шифрлау;Term
аутентификация;Term
ашық блокчейндер;Term
ашық кілт;Term
ашық кілттер;Term
ашық кілтті криптография;Term
ашықтық;Term
аяқталмаған транзакцияларды;Term
АҚШ-тың Бағалы Қағаздар және Биржалар жөніндегі Комиссиясы;Term
ақылды келісімшарт;Term
ақылды келісімшарттар;Term
байт буфер;Term
балама консенсус алгоритмін;Term
банктік шоты;Term
бастапқы блокқа;Term
бастапқы монета ұсыныстарын;Term
бағдарлама;Term
бағдарлама деректер;Term
бағдарлама идентификаторы;Term
бағдарламалар;Term
бағдарламалық жасақтама;Term
бағдарламалық әмияндар;Term
беделді әмиянды;Term
белсенді Биткоин пайдаланушылары;Term
Биржалық трейдерлер;Term
биткоин;Term
Биткоин ақ қағазын;Term
Биткоин Биржа Қорлары;Term
биткоин блокчейн;Term
биткоин желісі;Term
биткоин транзакциялар;Term
Биткоиндер;Term
биткоиндік транзакция;Term
Биткоиннің дизайны;Term
биткойн;Term
биткойн-майнинг фермалары;Term
блок;Term
блок тақырыбы;Term
блок тақырыбының хэші;Term
блок өндірушіге;Term
блоктар;Term
блоктық хэштерді;Term
блоктың тақырыбындағы;Term
блоктың хэш;Term
блокхашты;Term
блокчейн;Term
блокчейн валютасымен;Term
Блокчейн дерекқордағы;Term
блокчейн жазбалар;Term
блокчейн желілері;Term
блокчейн желісі;Term
блокчейн жобалар;Term
блокчейн жүйелер;Term
блокчейн жүйесі;Term
блокчейн кесте мүмкіндігін;Term
блокчейн майнингін;Term
блокчейн ойындары;Term
Блокчейн ойыны;Term
блокчейн протоколдарының;Term
блокчейн протоколы;Term
блокчейн протоколының инженериясы;Term
блокчейн терминологиясы;Term
Блокчейн технологияларын;Term
блокчейн технологиялық компаниясы;Term
блокчейн технологиясы;Term
блокчейн транзакция;Term
блокчейн транзакциялар;Term
блокчейн форктары;Term
блокчейн шешімдері;Term
Блокчейн қауіпсіздігінің;Term
блокчейн қосымшаларын;Term
блокчейн қосқыштары;Term
блокчейн әмияндарының;Term
блокчейнге негізделген жүйені;Term
блокчейнге негізделген ойындар;Term
блокчейнге ұқсас протоколды;Term
блокчейндер;Term
блокчейннің өзара әрекеттесуі;Term
бопсалаушы бағдарламалардан;Term
буфер;Term
бэк-офис;Term
бірегей идентификаторларды;Term
бірегей хэші;Term
БҚжБжК;Term
бүйірлік тізбекке;Term
Бүйірлік тізбектер;Term
валидатор;Term
валидаторлар;Term
валюта;Term
валюталар;Term
веб-сайт;Term
веб-сайттар;Term
венчурлық инвестициялар;Term
виртуалды валюталардың;Term
виртуалды элементтерді;Term
виртуалды үй жануары;Term
генезис-блок;Term
гибридті блокчейн;Term
гибридті блокчейндер;Term
дауыс беру жүйесі;Term
депозиттерді қорғау схемаларына;Term
деректер түйіндері;Term
деректерді сақтау;Term
деректерді іріктеуді;Term
деңгей;Term
домендік атау қызметтерін;Term
Дүниежүзілік банкаралық қаржылық телекоммуникациялар қоғамы;Term
дәстүрлі активтерді;Term
екі факторлы аутентификация;Term
екінші деңгейлі жеткізушілерге;Term
ерікті деректерді;Term
есеп;Term
есеп айырысу;Term
есептеу кластерлері;Term
есептеу сенімі;Term
есептеу қуаты;Term
есептеуіш қуаттылықтың;Term
есептік жазба;Term
Есептік жазбалар;Term
жады пулы;Term
жазба;Term
жазбалар;Term
жазбаларды сақтау;Term
жазбаларын сақтаудағы;Term
Жалған Web3 сайттары;Term
жарамды транзакциялар;Term
жарамды хэш;Term
жария тізілімі;Term
жасырын ақпаратты;Term
жаңа транзакция блоктарын;Term
жаһандық блокчейн индустриясының;Term
жаһандық блокчейн форумын;Term
жедел несиелерді;Term
жеке банкингтен;Term
жеке басын;Term
жеке блоктар;Term
жеке блокчейн;Term
жеке блокчейндер;Term
жеке кілт;Term
жеке кілттер;Term
Жеке транзакциялар;Term
жекешелендірілген блокчейндердің;Term
жел;Term
желер;Term
желі;Term
желі жаңартуы;Term
желі түйіндеріне;Term
желі әкімшілері;Term
желілер;Term
желінің түйіндері;Term
жетім блоктар;Term
жеңіл блокчейн;Term
Жеңіл блокчейндер;Term
жеңілдетілген блокчейндер;Term
жоғары деңгейлі доменді;Term
жоғары таратылған есептеу жүйесін;Term
жоғары өткізу қабілетті;Term
жылжымайтын мүлік;Term
жұмыс дәлелі;Term
заманауи дауыс беру жүйесін;Term
заттардың интернеті;Term
заңды келісімшарттар;Term
заңды төлем құралы;Term
заңсыз сатып алулар;Term
зиянды транзакция;Term
зиянды қатысушылардан;Term
зияткерлік меншік;Term
идентификатор;Term
идентификаторларды;Term
интернет;Term
инфляция;Term
Капитал Нарығы;Term
келісім-шартар;Term
келісімшарттар;Term
клиенттік код;Term
клиринг процесі;Term
код;Term
компания акциялары;Term
компьютерлік желі;Term
консенсус;Term
консенсус алгоритмін;Term
консенсус хаттамасын;Term
консорциум блокчейн;Term
консорциум блокчейндер;Term
консорциум мүшелері;Term
контрафактілік;Term
Контрафактілік Қарсы Блокатон Форумын;Term
корпоративтік инвестиция;Term
крипто;Term
крипто қоғамдастығы;Term
крипто ұрлаушылар;Term
криптоактивтер;Term
криптовалюта;Term
криптовалюта биржалары;Term
криптовалюта биржасы;Term
криптовалюта жүйелері;Term
криптовалюта транзакциялары;Term
криптовалюта қорлары;Term
криптовалюта әмияндарына;Term
криптовалюта әмияны;Term
криптовалюталар;Term
Криптовалюталарды Реттеу;Term
криптограф;Term
криптография;Term
криптографиялық инновациялар;Term
криптографиялық хэштер;Term
криптографиялық хэші;Term
криптографиялық іс-шаралар;Term
криптонарықтағы;Term
кілт;Term
кілт алмасу;Term
кілттер;Term
кілттер жұбы;Term
Кілттік жұптар;Term
кіру;Term
кіру мәліметтері;Term
кітапхана;Term
майнер;Term
майнинг;Term
медициналық карта;Term
медициналық карталарын;Term
мекенжай;Term
мекенжайлар;Term
мемкоиндарды;Term
мемлекеттік жеке куәліктер;Term
мемлекеттік сәйкестендірулер;Term
меншік құқығын;Term
метаверсті;Term
микросақтандыру;Term
мүлікке иелік;Term
Мүліктік дау;Term
мәліметтер базасы;Term
мөлдір;Term
мөлдірлік;Term
нарықтық капиталдандыруға;Term
негізгі NFT платформасы;Term
негізгі желісін;Term
негізгі тізбек;Term
несие картасы;Term
нұсқау;Term
нұсқаулар;Term
нұсқаулық деректер;Term
ойыншы идентификаторын;Term
орталық орган;Term
орталықсыз;Term
орталықсыздандыру;Term
орталықсыздандырылған;Term
орталықтандырылмаған блокчейн;Term
Орталықтандырылмаған блокчейндер;Term
Орталықтандырылмаған жүйедегі;Term
орталықтандырылмаған қаржы;Term
орталықтандырылмаған қауіпсіздік;Term
орталықтандырылмаған қолданбаларыңыздың;Term
орталықтандырылған биржаларға;Term
орталықтандырылған блокчейн;Term
орталықтандырылған блокчейндер;Term
ортақ индекспен;Term
Ортақ экономика;Term
оффлайн әмиянда;Term
пайда;Term
пайдаланушы;Term
пайдаланушылар;Term
пайдаланушының құпиялылығын;Term
пайдалы;Term
параметрлік сақтандыру;Term
протокол;Term
протоколдар;Term
реттеуші өзгерістер;Term
реттік кілтін;Term
рұқсат;Term
рұқсат етілген блокчейндер;Term
рұқсат етілген жеке блокчейн;Term
сайлау;Term
сайлаудағы;Term
сайлауларда;Term
сайлаушылардың;Term
сандық актив;Term
сандық активтер;Term
Сандық валютаны;Term
сатылым;Term
сатылымдар;Term
сақтандыру;Term
сеанс кілтін;Term
сенімді тарап қол;Term
сенімді тұлға;Term
сенімсіз көпір;Term
сенімсіздік;Term
сериализатор;Term
сертификаттардың аутентификациясы;Term
серіктестік;Term
симметриялық криптография;Term
симметриялық криптографиялық алгоритмдер;Term
симметриялық шифрлау;Term
скрипт;Term
сланецті газ;Term
смарт келісімшарттар;Term
табыс;Term
тарап тәуекелі;Term
тарату желісін;Term
таратылған желілерді;Term
ТБИ;Term
тексеру процесінен;Term
терават-сағат;Term
тең-теңімен энергия саудасында;Term
токен;Term
токендерді;Term
токенизация;Term
транзакция;Term
транзакция деректер;Term
Транзакция мазмұны;Term
транзакциялар;Term
транзакциялық комиссиялар;Term
транзакцияға қауіпсіз қол қоюды;Term
трансшекаралық сауда;Term
тізбек;Term
тізбектер;Term
Тізбектің дәлдігі;Term
тізім;Term
тіркеушінің;Term
түйін;Term
түйіндер;Term
түпнұсқа;Term
тұлға;Term
тұлғалар;Term
Тұтыну Бағаларының Индексі;Term
төлем;Term
төлемдер;Term
уақыт белгілері;Term
уақыт белгілеу;Term
уақыт белгісі;Term
уақытша әмиян;Term
фишинг құралы;Term
форк;Term
форктары;Term
форктер;Term
хэш;Term
хэширлеуге;Term
хэштелген;Term
хэштеу;Term
хэштеу алгоритмі;Term
цифрлық активтер;Term
цифрлық активтің;Term
цифрлық валюта;Term
цифрлық валюталар;Term
цифрлық сауда палатасының;Term
шарттық міндеттемелерді;Term
шифрлау;Term
шот;Term
шоттар;Term
экожүйесі;Term
экономика;Term
элементінің идентификаторы;Term
энергияны тұтыну;Term
этикалық стандарттар;Term
Эфириум блокчейн;Term
ішкі блокчейн шешімдері;Term
Қаранғы желі;Term
Қаржы институттары;Term
қаржылық ашықтықты;Term
қарсы тарап тәуекелі;Term
қате;Term
қателерді;Term
қатты форк;Term
Қатты форктер;Term
қауіпсіздік;Term
қолданба;Term
қолданбалар;Term
қолжетімді;Term
қолжетімділік;Term
қолжетімсіз;Term
қолтаңба;Term
қорғаныс;Term
қоғамдық блокчейн;Term
қоғамдық блокчейндер;Term
қоғамдық индекске;Term
қысқа мерзімді ұстаушылардың;Term
құмар ойын;Term
құмар ойын қызметтерін;Term
құмар ойындар;Term
құпия кілт;Term
құпия кілттер;Term
құпиялылық;Term
құқықтық белгісіздіктің;Term
үлес;Term
Үлестіру;Term
үшінші тараптың тексеру;Term
ұрлаушы;Term
ұрлаушылар;Term
Әділ Сауда;Term
әмиян;Term
әмиян мекенжайлары;Term
әмиян мекенжайы;Term
әмиян стандартын;Term
әмияндар;Term
әмияндарға қолдау;Term
әрекетші;Term
өзін-өзі сақтау;Term
өкілеттігін;Term
өкілеттікті;Term
